fecha,hora,centro_x,centro_y
04/04/24,17:14:12,98,79
04/04/24,17:14:14,100,77
04/04/24,17:14:16,100,77
04/04/24,17:14:19,104,75
04/04/24,17:14:21,104,75
04/04/24,17:14:23,104,77
04/04/24,17:14:25,107,76
04/04/24,17:14:27,107,76
04/04/24,17:14:29,110,76
04/04/24,17:14:31,111,74
04/04/24,17:14:33,113,71
04/04/24,17:14:35,113,74
04/04/24,17:14:38,113,74
04/04/24,17:14:40,114,77
04/04/24,17:14:42,115,75
04/04/24,17:14:44,115,78
04/04/24,17:14:46,119,79
04/04/24,17:14:48,119,81
04/04/24,17:14:51,119,81
04/04/24,17:20:54,83,76
04/04/24,17:25:33,83,76
04/04/24,17:27:43,83,76
04/04/24,17:41:33,83,76
04/04/24,17:58:34,83,76
04/04/24,17:58:36,85,80
04/04/24,17:58:39,87,88
04/04/24,17:58:41,90,83
04/04/24,17:58:43,91,84
04/04/24,17:58:45,90,83
04/04/24,17:58:47,93,75
04/04/24,17:58:49,98,79
04/04/24,18:01:11,83,76
04/04/24,18:01:13,85,80
04/04/24,18:01:15,87,88
04/04/24,18:01:17,90,83
04/04/24,18:01:19,91,84
04/04/24,18:01:21,90,83
04/04/24,18:01:24,93,75
04/04/24,18:01:26,98,79
04/04/24,18:01:28,98,79
04/04/24,18:01:30,100,77
04/04/24,18:01:32,100,77
04/04/24,18:01:34,104,75
04/04/24,18:01:36,104,75
04/04/24,18:01:39,104,77
04/04/24,18:01:41,107,76
04/04/24,18:01:43,107,76
04/04/24,18:01:45,110,76
04/04/24,18:01:47,111,74
04/04/24,18:01:49,113,71
04/04/24,18:01:52,113,74
04/04/24,18:01:54,113,74
04/04/24,18:01:56,114,77
04/04/24,18:01:58,115,75
04/04/24,18:02:00,115,78
04/04/24,18:02:02,119,79
04/04/24,18:02:04,119,81
04/04/24,18:02:07,119,81
04/04/24,18:02:09,122,82
04/04/24,18:02:11,125,80
04/04/24,18:02:13,126,80
04/04/24,18:02:15,128,78
04/04/24,18:02:17,133,76
04/04/24,18:05:15,136,70
04/04/24,18:05:17,134,74
